#,Player,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,
1,Kanwar Gurbaz Singh Sandhu,2,19.5,11,4.5,9,0.5,2,4.5,0.444,0,0.5,0,1,1.5,2.5,1,1.5,0,2,1,
2,Harsh Dagar,2,22.2,7.5,2.5,10.5,0.238,1.5,6,0.25,1,1.5,0.667,1.5,2,3.5,1.5,2.5,0,1.5,1,
3,Arvind Kumar Muthu Krishnan,2,25.8,7,1.5,10.5,0.143,0.5,5,0.1,3.5,4.5,0.778,2,1.5,3.5,2.5,0.5,0,2,3,
4,Sahaij Pratap Singh Sekhon,2,16.1,6,2.5,6.5,0.385,0,1.5,0,1,1,1,0,1,1,2.5,2,0,1.5,1,
5,Palpreet Singh Brar,2,16.8,5.5,2,7.5,0.267,0,0.5,0,1.5,2,0.75,1,2.5,3.5,0,0.5,0.5,1,1.5,
6,Muin Bek Hafeez,2,23.2,4.5,2,4.5,0.444,0.5,2,0.25,0,0,0,2.5,4,6.5,1.5,1,0,0.5,2,
7,Pranav Prince,2,31.1,4.5,2,9,0.222,0,2.5,0,0.5,1,0.5,4,3,7,3.5,2,1,2,2,
8,Amjyot Singh Gill,2,15.1,3.5,1.5,6.5,0.231,0.5,2.5,0.2,0,0,0,0.5,0.5,1,0.5,0,0,2,0.5,
9,Pratyanshu Tomar,2,15.8,2.5,1,4.5,0.222,0,0.5,0,0.5,1,0.5,4,2.5,6.5,1,0.5,1,0,1.5,
10,Lokendra Singh,1,3.1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
11,Aravind Annadurai,1,10.4,2,1,5,0.2,0,1,0,0,0,0,2,1,3,2,0,0,0,1,
12,Piyush Meena,1,2.9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
13,Sahil .,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,
14,Baladhaneshwar Poiyamozhi,1,5.8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,Kushal Singh,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
