#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,
1,Wael Arakji,2,65.5,40,14,30,0.467,2,8,0.25,10,13,0.769,1,9,10,10,2,0,7,6,
2,Dedric Lawson,2,71.2,26,8,23,0.348,1,12,0.083,9,11,0.818,2,21,23,4,1,1,2,6,
3,Sergio El Darwich,2,61.2,21,8,16,0.5,0,1,0,5,10,0.5,4,7,11,11,3,2,6,4,
4,Karim Zeinoun,2,39.8,19,7,12,0.583,2,3,0.667,3,4,0.75,2,2,4,3,1,0,4,4,
5,Gerard Hadidian,2,52.1,17,5,8,0.625,0,0,0,7,8,0.875,0,6,6,1,2,1,1,7,
6,Yousef Khayat,2,39.2,14,6,15,0.4,2,8,0.25,0,0,0,2,10,12,2,1,1,3,5,
7,Amir Saoud,2,29,11,4,9,0.444,2,6,0.333,1,2,0.5,0,4,4,4,1,0,5,2,
8,Mohamed Ali Haidar,2,27.2,10,3,11,0.273,0,0,0,4,6,0.667,3,3,6,0,0,0,3,4,
9,Jihad el Khatib,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Ali Mezher,2,14.5,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,1,
