#,Player,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,
1,Muhammad-Ali Abdur-Rahkman,2,30.6,23.5,7,14,0.5,2.5,6,0.417,7,7.5,0.933,1,5,6,4.5,0,0,3.5,0.5,
2,Marzouq Almuwallad,2,27.6,12.5,5.5,10.5,0.524,0,0.5,0,1.5,1.5,1,1,2.5,3.5,3.5,1.5,0.5,2.5,3,
3,Mohammed Alsuwailem,2,26.5,12,4.5,6,0.75,0,1,0,3,3,1,1.5,7.5,9,1.5,1,2,1,1.5,
4,Musab Tariq M Kadi,2,24.3,9.5,4.5,8,0.563,0.5,2.5,0.2,0,0,0,1,3,4,2,3.5,1,1.5,1,
5,Khalid M Abdel Gabar,1,26.7,8,3,7,0.429,1,5,0.2,1,2,0.5,0,2,2,5,1,0,1,1,
6,Ali Shubayli,2,24.2,6.5,2.5,5,0.5,1.5,2.5,0.6,0,0,0,1,4,5,1,0.5,0,1,0.5,
7,Fahad Belal,2,19.1,3,1,4,0.25,1,4,0.25,0,0,0,0.5,1.5,2,2.5,1,0,1.5,0.5,
8,Manaf Mustafa Alsalem,2,8,2.5,0.5,0.5,1,0.5,0.5,1,1,1,1,0.5,1,1.5,1,0.5,0,1.5,1,
9,Thamer Mohammed,2,8.2,2,1,2,0.5,0,0,0,0,0,0,1.5,0.5,2,0,0.5,0.5,1.5,2,
10,Mohammed Kadi,2,4.9,1.5,0.5,2,0.25,0,0,0,0.5,0.5,1,1,1.5,2.5,0,0,1,0,1,
11,Osama Albargawi,2,8.8,1,0.5,2.5,0.2,0,1,0,0,0,0,0.5,1.5,2,0,1,0,0.5,0.5,
12,Mathna Almarwani,1,4.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,
13,Abdulrahman Mubarki,1,4.8,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,
